Unnamed_0,time_index,RNA_nuc,RNA_cyto,RNA_total,rep,conc
0,0,18,65,83,1,0
1,0,4,13,17,1,0
2,0,77,100,177,1,0
3,0,7,63,70,1,0
4,0,33,99,132,1,0
5,0,29,101,130,1,0
6,0,57,50,107,1,0
7,0,35,94,129,1,0
8,0,50,91,141,1,0
9,0,14,39,53,1,0
10,0,19,32,51,1,0
11,0,86,131,217,1,0
12,0,44,129,173,1,0
13,0,42,78,120,1,0
14,0,35,69,104,1,0
15,0,14,48,62,1,0
16,0,37,66,103,1,0
17,0,15,26,41,1,0
18,0,21,14,35,1,0
19,0,11,18,29,1,0
20,0,32,59,91,1,0
21,0,18,46,64,1,0
22,0,17,56,73,1,0
23,0,49,125,174,1,0
24,0,32,97,129,1,0
25,0,2,16,18,1,0
26,0,42,160,202,1,0
27,0,60,116,176,1,0
28,0,14,35,49,1,0
29,0,8,24,32,1,0
30,0,34,75,109,1,0
31,0,44,47,91,1,0
32,0,20,38,58,1,0
33,0,89,126,215,1,0
34,0,9,34,43,1,0
35,0,2,10,12,1,0
36,0,24,41,65,1,0
37,0,26,56,82,1,0
38,0,15,14,29,1,0
39,0,84,284,368,1,0
40,0,2,4,6,1,0
41,0,26,49,75,1,0
42,0,4,24,28,1,0
43,0,15,67,82,1,0
44,0,44,89,133,1,0
45,0,20,15,35,1,0
46,0,12,21,33,1,0
47,0,2,4,6,1,0
48,0,15,37,52,1,0
49,0,13,3,16,1,0
50,0,10,8,18,1,0
51,0,40,77,117,1,0
52,0,28,24,52,1,0
53,0,36,36,72,1,0
54,0,43,30,73,1,0
55,0,37,85,122,1,0
56,0,25,34,59,1,0
57,0,22,30,52,1,0
58,0,42,84,126,1,0
59,0,12,46,58,1,0
60,0,29,42,71,1,0
61,0,23,36,59,1,0
62,0,7,14,21,1,0
63,0,2,2,4,1,0
64,0,11,2,13,1,0
65,0,27,40,67,1,0
66,0,19,56,75,1,0
67,0,42,69,111,1,0
68,0,115,109,224,1,0
69,0,53,79,132,1,0
70,0,16,40,56,1,0
71,0,40,60,100,1,0
72,0,58,70,128,1,0
73,0,56,43,99,1,0
74,0,27,29,56,1,0
75,0,26,50,76,1,0
76,0,37,93,130,1,0
77,0,18,56,74,1,0
78,0,39,98,137,1,0
79,0,15,46,61,1,0
80,0,22,44,66,1,0
81,0,5,32,37,1,0
82,0,11,29,40,1,0
83,0,18,29,47,1,0
84,0,19,13,32,1,0
85,0,7,16,23,1,0
86,0,10,29,39,1,0
87,0,21,30,51,1,0
88,0,17,10,27,1,0
89,0,19,42,61,1,0
90,0,26,56,82,1,0
91,0,12,19,31,1,0
92,0,12,8,20,1,0
93,0,30,95,125,1,0
94,0,11,14,25,1,0
95,0,28,29,57,1,0
96,0,39,53,92,1,0
97,0,3,6,9,1,0
98,0,15,23,38,1,0
99,0,25,25,50,1,0
3249,90,49,158,207,1,100
3250,90,258,198,456,1,100
3251,90,86,352,438,1,100
3252,90,126,231,357,1,100
3253,90,61,142,203,1,100
3254,90,64,108,172,1,100
3255,90,301,681,982,1,100
3256,90,33,97,130,1,100
3257,90,42,102,144,1,100
3258,90,33,37,70,1,100
3259,90,19,53,72,1,100
3260,90,112,170,282,1,100
3261,90,81,131,212,1,100
3262,90,77,64,141,1,100
3263,90,88,154,242,1,100
3264,90,46,76,122,1,100
3265,90,162,298,460,1,100
3266,90,98,209,307,1,100
3267,90,133,185,318,1,100
3268,90,55,33,88,1,100
3269,90,69,117,186,1,100
3270,90,114,218,332,1,100
3271,90,128,197,325,1,100
3272,90,105,147,252,1,100
3273,90,45,116,161,1,100
3274,90,90,144,234,1,100
3275,90,58,68,126,1,100
3276,90,136,371,507,1,100
3277,90,9,51,60,1,100
3278,90,81,104,185,1,100
3279,90,108,224,332,1,100
3280,90,152,375,527,1,100
3281,90,63,76,139,1,100
3282,90,169,293,462,1,100
3283,90,93,151,244,1,100
3284,90,91,151,242,1,100
3285,90,94,61,155,1,100
3286,90,49,183,232,1,100
3287,90,65,182,247,1,100
3288,90,29,77,106,1,100
3289,90,97,172,269,1,100
3290,90,24,76,100,1,100
3291,90,81,186,267,1,100
3292,90,97,135,232,1,100
3293,90,103,164,267,1,100
3294,90,68,83,151,1,100
3295,90,124,277,401,1,100
3296,90,50,114,164,1,100
3297,90,88,206,294,1,100
3298,90,132,139,271,1,100
3299,90,120,189,309,1,100
3300,90,67,156,223,1,100
3301,90,48,170,218,1,100
3302,90,176,269,445,1,100
3303,90,89,218,307,1,100
3304,90,53,100,153,1,100
3305,90,10,22,32,1,100
3306,90,46,37,83,1,100
3307,90,68,158,226,1,100
3308,90,147,263,410,1,100
3309,90,84,142,226,1,100
3310,90,69,161,230,1,100
3311,90,111,219,330,1,100
3312,90,68,85,153,1,100
3313,90,138,454,592,1,100
3314,90,48,105,153,1,100
3315,90,62,116,178,1,100
3316,90,24,72,96,1,100
3317,90,72,167,239,1,100
3318,90,28,62,90,1,100
3319,90,15,34,49,1,100
3320,90,27,21,48,1,100
3321,90,121,299,420,1,100
3322,90,81,210,291,1,100
3323,90,71,127,198,1,100
3324,90,112,144,256,1,100
3325,90,173,287,460,1,100
3326,90,190,305,495,1,100
3327,90,65,129,194,1,100
3328,90,68,117,185,1,100
3329,90,37,132,169,1,100
3330,90,41,90,131,1,100
3331,90,53,110,163,1,100
3332,90,48,120,168,1,100
3333,90,120,296,416,1,100
3334,90,82,140,222,1,100
3335,90,110,289,399,1,100
3336,90,101,273,374,1,100
3337,90,48,144,192,1,100
3338,90,65,146,211,1,100
3339,90,328,260,588,1,100
3340,90,64,101,165,1,100
3341,90,30,96,126,1,100
3342,90,80,146,226,1,100
3343,90,94,200,294,1,100
3344,90,26,53,79,1,100
3345,90,122,171,293,1,100
3346,90,82,84,166,1,100
3347,90,34,72,106,1,100
3348,90,89,174,263,1,100
4572,180,93,184,277,1,100
4573,180,60,94,154,1,100
4574,180,32,78,110,1,100
4575,180,45,80,125,1,100
4576,180,69,98,167,1,100
4577,180,78,115,193,1,100
4578,180,68,143,211,1,100
4579,180,47,86,133,1,100
4580,180,54,102,156,1,100
4581,180,46,132,178,1,100
4582,180,9,34,43,1,100
4583,180,17,66,83,1,100
4584,180,70,156,226,1,100
4585,180,16,24,40,1,100
4586,180,75,129,204,1,100
4587,180,3,15,18,1,100
4588,180,49,67,116,1,100
4589,180,120,115,235,1,100
4590,180,16,29,45,1,100
4591,180,25,63,88,1,100
4592,180,86,128,214,1,100
4593,180,95,158,253,1,100
4594,180,52,69,121,1,100
4595,180,47,82,129,1,100
4596,180,88,150,238,1,100
4597,180,79,138,217,1,100
4598,180,8,26,34,1,100
4599,180,19,40,59,1,100
4600,180,34,49,83,1,100
4601,180,37,86,123,1,100
4602,180,44,84,128,1,100
4603,180,69,118,187,1,100
4604,180,38,45,83,1,100
4605,180,65,130,195,1,100
4606,180,54,140,194,1,100
4607,180,36,69,105,1,100
4608,180,56,101,157,1,100
4609,180,114,252,366,1,100
4610,180,4,17,21,1,100
4611,180,43,101,144,1,100
4612,180,65,152,217,1,100
4613,180,100,144,244,1,100
4614,180,70,142,212,1,100
4615,180,62,86,148,1,100
4616,180,68,145,213,1,100
4617,180,20,51,71,1,100
4618,180,41,106,147,1,100
4619,180,28,44,72,1,100
4620,180,38,40,78,1,100
4621,180,15,38,53,1,100
4622,180,53,120,173,1,100
4623,180,87,169,256,1,100
4624,180,157,203,360,1,100
4625,180,78,110,188,1,100
4626,180,20,29,49,1,100
4627,180,44,77,121,1,100
4628,180,82,163,245,1,100
4629,180,63,109,172,1,100
4630,180,82,180,262,1,100
4631,180,30,50,80,1,100
4632,180,62,148,210,1,100
4633,180,123,212,335,1,100
4634,180,89,159,248,1,100
4635,180,66,203,269,1,100
4636,180,100,191,291,1,100
4637,180,117,276,393,1,100
4638,180,134,274,408,1,100
4639,180,150,344,494,1,100
4640,180,19,102,121,1,100
4641,180,70,138,208,1,100
4642,180,37,84,121,1,100
4643,180,40,130,170,1,100
4644,180,56,111,167,1,100
4645,180,19,24,43,1,100
4646,180,102,210,312,1,100
4647,180,115,180,295,1,100
4648,180,64,120,184,1,100
4649,180,75,169,244,1,100
4650,180,122,190,312,1,100
4651,180,45,142,187,1,100
4652,180,53,148,201,1,100
4653,180,64,126,190,1,100
4654,180,54,54,108,1,100
4655,180,29,101,130,1,100
4656,180,74,159,233,1,100
4657,180,53,113,166,1,100
4658,180,92,73,165,1,100
4659,180,175,202,377,1,100
4660,180,38,115,153,1,100
4661,180,42,88,130,1,100
4662,180,27,154,181,1,100
4663,180,52,140,192,1,100
4664,180,66,154,220,1,100
4665,180,88,244,332,1,100
4666,180,61,211,272,1,100
4667,180,76,267,343,1,100
4668,180,48,102,150,1,100
4669,180,27,66,93,1,100
4670,180,52,82,134,1,100
4671,180,71,182,253,1,100
